symbol,display_symbol,name_en,name_local,sector,description,open,high,low,close,prev_close,price,change_pct,gap_pct,candle_body_pct,candle_range_pct,upper_shadow_pct,lower_shadow_pct,candle_type,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,price_to_book,return_on_equity,revenue_growth,market_cap,target_price,upside_pct,macd,macd_signal,macd_hist,macd_state,bollinger_width_pct,bollinger_percent_b,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,near_count,chart_score,technical_score,fundamental_score,theme_score,flow_score,composite_score
001790.KS,001790,대한제당,대한제당,Unknown,대한제당 (KOSPI),2975.0,2980.0,2910.0,2910.0,2975.0,2910.0,-2.18,0.0,-2.18,2.35,0.17,0.0,Strong Bearish,41.7,4010.0,2660.0,-27.4,0.65,,,,,,,,14.1528,38.2989,-24.1461,Bearish,8.94,0.082,Uptrend,4,2895.0,0.52,True,2869.0,1.43,True,2907.0,0.1,True,3,88.0,51.0,50,49.6,52.75,61.86
001130.KS,001130,대한제분,대한제분,Unknown,대한제분 (KOSPI),0.0,0.0,0.0,156500.0,156500.0,156500.0,0.0,-100.0,,,,,Flat,64.2,170900.0,128100.0,-8.4,,,,,,,,,2479.8173,1892.5065,587.3107,Positive,14.91,0.738,Strong Uptrend,5,150182.0,4.21,False,147272.0,6.27,False,147078.0,6.41,False,0,75.0,72.0,50,49.6,54.67,63.41
004560.KS,004560,현대비앤지스틸,현대비앤지스틸,Unknown,현대비앤지스틸 (KOSPI),18280.0,18500.0,17180.0,17200.0,18260.0,17200.0,-5.81,0.11,-5.91,7.22,1.2,0.11,Strong Bearish,55.6,22250.0,10470.0,-22.7,1.28,,,,,,,,376.7933,62.9092,313.884,Positive,26.48,0.77,Strong Uptrend,5,17060.0,0.82,True,14224.0,20.92,False,13120.0,31.1,False,1,86.67,73.6,50,49.6,56.75,67.52
013580.KS,013580,계룡건설,계룡건설,Unknown,계룡건설 (KOSPI),29600.0,29700.0,28700.0,29000.0,29600.0,29000.0,-2.03,0.0,-2.03,3.38,0.34,1.01,Bearish,55.0,31300.0,16640.0,-7.3,0.3,,,,,,,,911.5742,860.9951,50.5792,Positive,23.64,0.635,Strong Uptrend,5,26582.0,9.1,False,23126.0,25.4,False,21689.0,33.71,False,0,68.0,67.6,50,49.6,47.0,59.44
000390.KS,000390,SP삼화,SP삼화,Unknown,SP삼화 (KOSPI),10230.0,10230.0,9410.0,9450.0,9940.0,9450.0,-4.93,2.92,-7.62,8.02,0.0,0.39,Strong Bearish,49.7,12350.0,5650.0,-23.5,0.71,,,,,,,,89.9068,67.1378,22.7691,Positive,15.27,0.535,Strong Uptrend,5,9361.0,0.95,True,7896.0,19.68,False,6982.0,35.35,False,1,86.67,64.6,50,49.6,52.75,64.87
004710.KS,004710,한솔테크닉스,한솔테크닉스,Unknown,한솔테크닉스 (KOSPI),8400.0,8700.0,8080.0,8130.0,8480.0,8130.0,-4.13,-0.94,-3.21,7.38,3.57,0.6,Bearish Rejection,65.1,8690.0,4331.0,-6.4,0.44,,,,,,,,773.7628,643.5161,130.2468,Positive,84.41,0.733,Neutral,3,5926.0,37.19,False,5946.0,36.73,False,5957.0,36.48,False,0,44.0,60.6,50,49.6,47.0,50.49
136490.KS,136490,선진,선진,Unknown,선진 (KOSPI),10980.0,11020.0,10700.0,10720.0,10910.0,10720.0,-1.74,0.64,-2.37,2.91,0.36,0.18,Strong Bearish,50.6,14900.0,5870.0,-28.1,0.62,,,,,,,,72.2399,24.361,47.8789,Positive,14.35,0.604,Neutral,3,11191.0,-4.21,False,10488.0,2.21,False,10866.0,-1.34,True,1,62.67,64.6,50,49.6,57.25,58.12
122900.KS,122900,아이마켓코리아,아이마켓코리아,Unknown,아이마켓코리아 (KOSPI),7690.0,7690.0,7590.0,7600.0,7690.0,7600.0,-1.17,0.0,-1.17,1.3,0.0,0.13,Strong Bearish,53.8,8590.0,7270.0,-11.5,0.56,,,,,,,,25.0391,-0.5827,25.6218,Positive,5.47,0.728,Strong Downtrend,0,7654.0,-0.71,True,7755.0,-2.0,True,7982.0,-4.79,False,2,33.33,64.6,50,49.6,57.25,49.31
033920.KS,033920,무학,무학,Unknown,무학 (KOSPI),8980.0,9020.0,8900.0,8900.0,8950.0,8900.0,-0.56,0.34,-0.89,1.34,0.45,0.0,Strong Bearish,47.5,10400.0,7030.0,-14.4,1.28,,,,,,,,-6.0978,-13.3906,7.2928,Positive,6.71,0.477,Uptrend,4,9130.0,-2.52,False,8872.0,0.32,True,8423.0,5.66,False,1,74.67,73.6,50,49.6,61.25,64.37
117580.KS,117580,대성에너지,대성에너지,Unknown,대성에너지 (KOSPI),9130.0,9210.0,9000.0,9190.0,9100.0,9190.0,0.99,0.33,0.66,2.3,0.22,1.42,Bullish Reversal,46.0,14390.0,7510.0,-36.1,0.69,,,,,,,,-211.0423,-228.3722,17.3299,Bullish,11.43,0.426,Uptrend,4,9617.0,-4.44,False,8858.0,3.75,False,8569.0,7.25,False,0,55.0,82.6,50,49.6,60.75,60.66
