symbol,display_symbol,name_en,name_local,sector,description,price,rsi,high_52w,low_52w,from_high_pct,volume_ratio,trailing_pe,target_price,upside_pct,trend,trend_score,ma_60,diff_60,near_60,ma_120,diff_120,near_120,ma_240,diff_240,near_240,composite_score,near_count
IRM,IRM,Iron Mountain Incorporated,Iron Mountain Incorporated,부동산·리츠,"Iron Mountain Incorporated is a global leader in information management services, and is trusted by more than 240,000 cu",116.03,63.8,120.53,78.22,-3.7,1.22,236.8,122.73,5.8,Strong Uptrend,5,105.25,10.24,False,96.41,20.35,False,96.4,20.36,False,10.0,0
JBHT,JBHT,"J.B. Hunt Transport Services, Inc.","J.B. Hunt Transport Services, Inc.",산업재,"J.B. Hunt Transport Services, Inc. provides surface transportation, delivery, and logistic services in the United States",248.59,67.6,253.71,128.32,-2.0,0.66,38.6,232.57,-6.4,Strong Uptrend,5,221.0,12.48,False,204.55,21.53,False,174.34,42.59,False,5.0,0
JKHY,JKHY,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc.",기술,"Jack Henry & Associates, Inc. operates as a financial technology company that connects people and financial institutions",151.15,39.2,191.9,145.25,-21.2,0.78,21.7,199.36,31.9,Downtrend,2,161.7,-6.52,False,169.34,-10.74,False,167.67,-9.85,False,30.0,0
JBL,JBL,Jabil Inc.,Jabil Inc.,기술,"Jabil Inc. provides engineering, manufacturing, and supply chain solutions worldwide. It operates in three segments: Reg",341.65,78.4,341.65,145.9,0.0,1.24,46.1,302.78,-11.4,Strong Uptrend,5,271.06,26.04,False,247.01,38.31,False,226.15,51.07,False,5.0,0
JCI,JCI,Johnson Controls International plc,Johnson Controls International plc,산업재,"Johnson Controls International plc, together with its subsidiaries, engages in engineering, manufacturing, commissioning",141.92,58.9,145.01,79.82,-2.1,0.7,47.6,144.1,1.5,Strong Uptrend,5,136.11,4.27,False,126.16,12.49,False,115.78,22.58,False,15.0,0
JNJ,JNJ,Johnson & Johnson,Johnson & Johnson,헬스케어,"Johnson & Johnson, together with its subsidiaries, engages in the research and development, manufacture, and sale of a r",227.5,35.5,248.56,142.39,-8.5,0.8,26.4,252.42,11.0,Uptrend,4,238.97,-4.8,False,221.58,2.67,False,194.19,17.15,False,16.0,0
J,J,Jacobs Solutions Inc.,Jacobs Solutions Inc.,산업재,"Jacobs Solutions Inc. engages in the infrastructure and advanced facilities, and consulting businesses in the United Sta",126.6,45.2,163.62,116.97,-22.6,0.86,33.4,155.87,23.1,Strong Downtrend,0,132.74,-4.63,False,136.25,-7.08,False,138.46,-8.57,False,27.0,0
JPM,JPM,JPMorgan Chase & Co.,JPMorgan Chase & Co.,금융 서비스,"JPMorgan Chase & Co. operates as a bank and financial holding company in the United States, rest of North America, Europ",308.28,55.3,332.91,238.58,-7.4,0.58,14.8,340.45,10.4,Neutral,3,300.26,2.67,False,305.38,0.95,True,295.81,4.22,False,45.2,1
KVUE,KVUE,Kenvue Inc.,Kenvue Inc.,필수 소비재,"Kenvue Inc. operates as a consumer health company in the United States, rest of North America, Europe, the Middle East, ",17.49,50.3,23.43,13.78,-25.4,0.37,23.0,19.58,11.9,Neutral,3,17.82,-1.85,True,17.27,1.27,True,18.39,-4.89,False,48.52,2
KEY,KEY,KeyCorp,KeyCorp,금융 서비스,KeyCorp operates as the holding company for KeyBank National Association that provides various retail and commercial ban,21.63,58.5,22.98,14.08,-5.9,0.96,13.3,24.92,15.2,Strong Uptrend,5,20.92,3.39,False,20.19,7.13,False,18.71,15.61,False,35.0,0
KEYS,KEYS,"Keysight Technologies, Inc.","Keysight Technologies, Inc.",기술,"Keysight Technologies, Inc. provides electronic design and test solutions worldwide. The company operates through Commun",346.96,75.0,346.96,143.79,0.0,0.94,61.0,315.15,-9.2,Strong Uptrend,5,282.62,22.77,False,241.26,43.81,False,203.44,70.55,False,5.0,0
KMB,KMB,Kimberly-Clark Corporation,Kimberly-Clark Corporation,필수 소비재,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care products in the Unite",97.85,48.7,137.72,93.05,-29.0,0.74,20.1,114.86,17.4,Strong Downtrend,1,101.12,-3.23,False,100.91,-3.03,False,113.04,-13.44,False,27.0,0
KIM,KIM,Kimco Realty Corporation,Kimco Realty Corporation,부동산·리츠,"Kimco Realty Corporation is a real estate investment trust and leading owner and operator of high-quality, open-air, gro",23.69,59.1,24.19,19.06,-2.1,1.04,28.9,25.08,5.9,Strong Uptrend,5,22.71,4.32,False,21.4,10.7,False,21.11,12.22,False,15.0,0
KKR,KKR,KKR & Co. Inc.,KKR & Co. Inc.,금융 서비스,KKR & Co. Inc. is a private equity and real estate investment firm specializing in direct and fund of fund investments. ,101.83,58.4,151.45,83.88,-32.8,0.42,43.5,122.61,20.4,Strong Downtrend,1,96.59,5.42,False,111.23,-8.45,False,121.99,-16.53,False,27.0,0
KMI,KMI,"Kinder Morgan, Inc.","Kinder Morgan, Inc.",에너지,"Kinder Morgan, Inc. operates as an energy infrastructure company primarily in North America. It operates through Natural",31.74,39.1,34.07,25.32,-6.8,0.88,21.3,35.24,11.0,Uptrend,4,32.48,-2.28,False,29.73,6.76,False,28.28,12.23,False,16.0,0
LH,LH,Labcorp Holdings Inc.,Labcorp Holdings Inc.,헬스케어,"Labcorp Holdings Inc. provides laboratory services. It operates through two segments, Diagnostics Laboratories and Bioph",263.8,44.0,289.43,225.88,-8.9,0.84,25.2,310.06,17.5,Neutral,3,272.8,-3.3,False,266.17,-0.89,True,264.9,-0.42,True,56.76,2
LVS,LVS,Las Vegas Sands Corp.,Las Vegas Sands Corp.,경기 소비재,"Las Vegas Sands Corp., together with its subsidiaries, owns, develops, and operates integrated resorts in Macao and Sing",52.81,41.3,69.13,35.16,-23.6,1.69,19.5,69.51,31.6,Downtrend,2,55.18,-4.3,False,59.55,-11.32,False,54.27,-2.69,False,38.0,0
LHX,LHX,"L3Harris Technologies, Inc.","L3Harris Technologies, Inc.",산업재,"L3Harris Technologies, Inc. provides mission-critical solutions for government and commercial customers worldwide. It op",317.51,27.1,377.17,212.44,-15.8,1.9,37.2,392.16,23.5,Uptrend,4,352.27,-9.87,False,326.52,-2.76,False,295.85,7.32,False,17.0,0
KR,KR,The Kroger Co.,The Kroger Co.,필수 소비재,The Kroger Co. operates as a food and drug retailer in the United States. The company operates combination food and drug,67.23,41.2,75.6,58.98,-11.1,0.78,43.7,75.45,12.2,Neutral,3,69.7,-3.54,False,66.47,1.14,True,67.2,0.04,True,51.28,2
LDOS,LDOS,"Leidos Holdings, Inc.","Leidos Holdings, Inc.",기술,"Leidos Holdings, Inc., together with its subsidiaries, provides services and solutions for government and commercial cus",146.06,29.3,198.61,140.3,-26.5,0.98,13.1,199.21,36.4,Strong Downtrend,1,168.46,-13.3,False,178.89,-18.35,False,174.21,-16.16,False,33.0,0
LII,LII,Lennox International Inc.,Lennox International Inc.,산업재,"Lennox International Inc., together with its subsidiaries, designs, manufactures, and markets products for the heating, ",490.97,51.2,659.2,436.59,-25.5,0.7,21.6,546.12,11.2,Strong Downtrend,1,505.65,-2.9,False,499.86,-1.78,True,531.75,-7.67,False,33.88,1
LEN,LEN,Lennar Corporation,Lennar Corporation,경기 소비재,"Lennar Corporation, together with its subsidiaries, operates as a homebuilder primarily under the Lennar brand in the Un",94.05,54.1,140.42,84.43,-33.0,0.71,13.5,94.0,-0.1,Strong Downtrend,0,100.77,-6.67,False,108.4,-13.24,False,113.29,-16.98,False,23.0,0
LLY,LLY,Eli Lilly and Company,Eli Lilly and Company,헬스케어,"Eli Lilly and Company discovers, develops, manufactures, and markets human pharmaceutical products in the United States,",883.96,38.3,1108.09,622.32,-20.2,1.57,38.5,1210.55,36.9,Downtrend,2,973.51,-9.2,False,1003.92,-11.95,False,882.42,0.17,True,49.32,1
LYV,LYV,"Live Nation Entertainment, Inc.","Live Nation Entertainment, Inc.",커뮤니케이션 서비스,"Live Nation Entertainment, Inc. operates as a live entertainment company worldwide. The company operates through Concert",156.64,49.9,174.06,125.61,-10.0,0.83,,183.22,17.0,Uptrend,4,155.31,0.86,True,147.87,5.93,False,150.58,4.02,False,43.56,1
